Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Malaybalay,1952, 43.1 , 63.8 , 84.0 , 69.7 , 388.9 , 401.1 , 509.9 , 347.2 , 480.7 , 394.7 , 329.7 , 305.5 
Malaybalay,1953, 125.2 , 83.1 , 81.8 , 66.1 , 362.0 , 246.6 , 359.0 , 320.7 , 411.9 , 297.9 , 323.5 , 126.5 
Malaybalay,1954, 72.5 , 42.6 , 80.4 , 24.5 , 287.3 , 375.4 , 416.5 , 363.6 , 336.0 , 426.4 , 157.2 , 341.7 
Malaybalay,1955, 228.4 , 13.1 , 174.8 , 70.1 , 176.3 , 373.3 , 324.8 , 306.8 , 379.7 , 538.5 , 206.0 , 235.0 
Malaybalay,1956, 162.8 , 162.0 , 101.7 , 228.0 , 432.5 , 264.1 , 338.4 , 314.1 , 312.2 , 256.3 , 215.2 , 455.5 
Malaybalay,1957, 40.7 , 55.7 , 97.1 , 112.1 , 126.2 , 562.0 , 207.2 , 363.6 , 381.4 , 122.0 , 104.1 , 52.4 
Malaybalay,1958, 41.6 , 112.1 , 11.0 , 79.6 , 141.2 , 241.8 , 268.4 , 243.4 , 131.5 , 289.8 , 313.4 , 81.7 
Malaybalay,1959, 143.1 , 112.1 , 59.9 , 140.8 , 238.6 , 211.1 , 435.4 , 338.5 , 348.2 , 391.6 , 87.5 , 47.5 
Malaybalay,1960, 92.4 , 109.9 , 94.4 , 101.9 , 194.5 , 316.4 , 336.0 , 295.7 , 465.1 , 173.4 , 143.2 , 137.8 
Malaybalay,1961, 222.7 , 61.1 , 142.3 , 43.0 , 153.8 , 165.4 , 299.3 , 206.1 , 277.7 , 336.7 , 152.0 , 145.5 
Malaybalay,1962, 143.1 , 320.8 , 157.9 , 88.2 , 315.6 , 409.3 , 272.1 , 471.0 , 422.3 , 154.8 , 171.5 , 86.0 
Malaybalay,1963, 211.2 , 176.3 , 174.0 , 91.7 , 344.5 , 270.2 , 338.9 , 473.0 , 406.9 , 367.2 , 46.9 , 72.2 
