Location,Month,Model,RMSE,MAE
Malaybalay,Jan,ARIMA,67.20861114024355,64.55946003948584
Malaybalay,Jan,LSTM,197.88770686232806,169.59954325358072
Malaybalay,Jan,GRU,206.67378648755906,180.1464080810547
Malaybalay,Jan,LSTM-GRU,198.7817679820186,170.60857137044272
Malaybalay,Jan,BiLSTM,197.83637236535418,169.47949727376303
Malaybalay,Jan,Transformer,222.07482810700435,197.63855997721353
Malaybalay,Feb,ARIMA,27.613375932272206,23.876243967136876
Malaybalay,Feb,LSTM,113.64680257835765,100.11851399739584
Malaybalay,Feb,GRU,116.99768900117026,103.86832071940104
Malaybalay,Feb,LSTM-GRU,114.58120912642416,101.27273712158204
Malaybalay,Feb,BiLSTM,114.07875683769514,100.15826314290365
Malaybalay,Feb,Transformer,119.48676555842661,106.6791473388672
Malaybalay,Mar,ARIMA,46.43294662888221,27.717650854853726
Malaybalay,Mar,LSTM,53.059192682872336,32.78915659586588
Malaybalay,Mar,GRU,55.500005174029845,33.92080841064453
Malaybalay,Mar,LSTM-GRU,54.887313292737794,33.76669565836588
Malaybalay,Mar,BiLSTM,54.516492239325146,32.68439229329427
Malaybalay,Mar,Transformer,60.70665494328784,41.70646311442058
Malaybalay,Apr,ARIMA,14.312855269735822,9.9421669045232
Malaybalay,Apr,LSTM,98.96291064440848,74.87862904866536
Malaybalay,Apr,GRU,97.3689926127024,72.14376576741536
Malaybalay,Apr,LSTM-GRU,100.56040637616644,75.92189534505208
Malaybalay,Apr,BiLSTM,99.94698320960119,76.13836415608723
Malaybalay,Apr,Transformer,76.48199255147777,55.31244659423828
Malaybalay,May,ARIMA,166.74753285188243,109.47833871730761
Malaybalay,May,LSTM,208.4114542189978,178.71794840494792
Malaybalay,May,GRU,213.76959874343257,183.83244527180992
Malaybalay,May,LSTM-GRU,206.1652052181297,177.29912516276042
Malaybalay,May,BiLSTM,208.27843455035168,178.4701151529948
Malaybalay,May,Transformer,210.77277850055955,179.23993123372395
Malaybalay,Jun,ARIMA,236.55370699221098,197.33687768200537
Malaybalay,Jun,LSTM,54.847339620904066,44.372794596354176
Malaybalay,Jun,GRU,56.15469816312074,45.932293701171886
Malaybalay,Jun,LSTM-GRU,55.27622585575154,46.026043701171886
Malaybalay,Jun,BiLSTM,56.58717701561249,48.98409220377605
Malaybalay,Jun,Transformer,63.51332035977975,56.73675740559897
Malaybalay,Jul,ARIMA,259.0995218549385,214.6901609859749
Malaybalay,Jul,LSTM,116.06702819414626,96.97166748046874
Malaybalay,Jul,GRU,116.70339509795859,94.18768107096354
Malaybalay,Jul,LSTM-GRU,119.24982691351713,95.83906860351561
Malaybalay,Jul,BiLSTM,116.64525608851488,94.98323364257811
Malaybalay,Jul,Transformer,130.58505254218258,110.15486246744791
Malaybalay,Aug,ARIMA,210.56475290028627,134.43002323250425
Malaybalay,Aug,LSTM,157.16615590117667,122.41625569661458
Malaybalay,Aug,GRU,158.72722238727513,120.53863118489583
Malaybalay,Aug,LSTM-GRU,157.37593686767033,117.96715901692708
Malaybalay,Aug,BiLSTM,153.9565549777553,119.40630696614583
Malaybalay,Aug,Transformer,163.69396432474423,120.36377360026042
Malaybalay,Sep,ARIMA,198.06206519228178,142.6353310691593
Malaybalay,Sep,LSTM,88.00704359629495,59.337957763671874
Malaybalay,Sep,GRU,89.41976953599978,60.7797607421875
Malaybalay,Sep,LSTM-GRU,85.463977025518,57.74310099283853
Malaybalay,Sep,BiLSTM,90.99474651050522,63.23616129557291
Malaybalay,Sep,Transformer,76.26509718607622,53.564888509114574
Malaybalay,Oct,ARIMA,255.16060768521658,196.25081857685265
Malaybalay,Oct,LSTM,109.38418629963088,90.02464803059895
Malaybalay,Oct,GRU,86.20795243967035,64.1883015950521
Malaybalay,Oct,LSTM-GRU,102.49361928596323,81.599365234375
Malaybalay,Oct,BiLSTM,101.84830763260679,80.05795288085938
Malaybalay,Oct,Transformer,74.47715895633809,61.242816162109385
Malaybalay,Nov,ARIMA,90.79485744224638,54.458153167929005
Malaybalay,Nov,LSTM,72.2599279543457,72.1746337890625
Malaybalay,Nov,GRU,69.93902896230101,69.90892232259114
Malaybalay,Nov,LSTM-GRU,70.17004663331188,70.0635498046875
Malaybalay,Nov,BiLSTM,70.65692197539309,70.62568868001301
Malaybalay,Nov,Transformer,73.33805683111487,72.93537089029947
Malaybalay,Dec,ARIMA,226.73012048874074,199.2851448844774
Malaybalay,Dec,LSTM,142.63427989323435,131.1271708170573
Malaybalay,Dec,GRU,144.78348901959205,131.57513071695965
Malaybalay,Dec,LSTM-GRU,143.30931375240775,130.9797607421875
Malaybalay,Dec,BiLSTM,143.0682932917617,132.46332702636718
Malaybalay,Dec,Transformer,151.70286440297312,134.02066192626953
Lumbia,Jan,ARIMA,11.666279486983164,10.99461800974368
Lumbia,Jan,LSTM,82.70325566104451,77.53982645670574
Lumbia,Jan,GRU,82.8546515941679,74.01368306477865
Lumbia,Jan,LSTM-GRU,82.88083929728192,76.87559611002605
Lumbia,Jan,BiLSTM,86.63126793984905,68.01671956380208
Lumbia,Jan,Transformer,97.78269814032818,94.20591074625652
Lumbia,Feb,ARIMA,78.09699043819204,60.27503167616603
Lumbia,Feb,LSTM,62.6626480884827,54.87727355957031
Lumbia,Feb,GRU,59.221649408546,52.525769551595054
Lumbia,Feb,LSTM-GRU,62.79797869657344,55.23869069417318
Lumbia,Feb,BiLSTM,63.269370204407515,55.60804748535156
Lumbia,Feb,Transformer,69.88617686363442,63.129478454589844
Lumbia,Mar,ARIMA,8.569761629967875,7.547500980285249
Lumbia,Mar,LSTM,56.44738243503086,46.7118278503418
Lumbia,Mar,GRU,53.861659558736974,43.692525482177736
Lumbia,Mar,LSTM-GRU,53.446820192493874,43.150979614257814
Lumbia,Mar,BiLSTM,54.94980502548159,44.816748555501306
Lumbia,Mar,Transformer,53.049066190586274,42.75544255574545
Lumbia,Apr,ARIMA,15.72288049423097,15.23326188650244
Lumbia,Apr,LSTM,22.332552798581,21.03795166015625
Lumbia,Apr,GRU,23.374370640474265,22.166222127278644
Lumbia,Apr,LSTM-GRU,23.608032184530078,22.37234420776367
Lumbia,Apr,BiLSTM,23.832953583310815,22.66909968058268
Lumbia,Apr,Transformer,23.950355721452283,23.12818832397461
Lumbia,May,ARIMA,114.28283517875485,77.08029178538409
Lumbia,May,LSTM,32.85192388128903,26.44956461588541
Lumbia,May,GRU,37.75006129138039,31.580698649088536
Lumbia,May,LSTM-GRU,33.546921398138785,26.973276774088536
Lumbia,May,BiLSTM,30.377489745385034,23.736012776692704
Lumbia,May,Transformer,46.745622787185845,36.750747680664055
Lumbia,Jun,ARIMA,199.90243955898694,151.10147463543188
Lumbia,Jun,LSTM,70.34328982928919,60.72049662272135
Lumbia,Jun,GRU,69.24719177872028,58.81608784993489
Lumbia,Jun,LSTM-GRU,69.76941449268772,60.52237650553385
Lumbia,Jun,BiLSTM,70.27282694788548,61.012849934895826
Lumbia,Jun,Transformer,71.19380942609278,63.53435465494791
Lumbia,Jul,ARIMA,163.59881337407094,119.25727934109828
Lumbia,Jul,LSTM,40.781459254646514,34.04344380696614
Lumbia,Jul,GRU,47.33833773131379,35.98647257486979
Lumbia,Jul,LSTM-GRU,43.915336900092115,37.86175740559895
