Location,Month,Year,Model,Actual,Predicted
Malaybalay,Jan,1952,ARIMA,43.1,81.86440678270209
Malaybalay,Jan,1952,LSTM,43.1,
Malaybalay,Jan,1952,GRU,43.1,
Malaybalay,Jan,1952,LSTM-GRU,43.1,
Malaybalay,Jan,1952,BiLSTM,43.1,
Malaybalay,Jan,1952,Transformer,43.1,
Malaybalay,Jan,1953,ARIMA,125.2,42.78602666424456
Malaybalay,Jan,1953,LSTM,125.2,
Malaybalay,Jan,1953,GRU,125.2,
Malaybalay,Jan,1953,LSTM-GRU,125.2,
Malaybalay,Jan,1953,BiLSTM,125.2,
Malaybalay,Jan,1953,Transformer,125.2,
Malaybalay,Jan,1954,ARIMA,72.5,0.0
Malaybalay,Jan,1954,LSTM,72.5,
Malaybalay,Jan,1954,GRU,72.5,
Malaybalay,Jan,1954,LSTM-GRU,72.5,
Malaybalay,Jan,1954,BiLSTM,72.5,
Malaybalay,Jan,1954,Transformer,72.5,
Malaybalay,Jan,2011,ARIMA,380.5,
Malaybalay,Jan,2011,LSTM,380.5,154.5973663330078
Malaybalay,Jan,2011,GRU,380.5,145.06210327148438
Malaybalay,Jan,2011,LSTM-GRU,380.5,153.0345916748047
Malaybalay,Jan,2011,BiLSTM,380.5,155.41116333007812
Malaybalay,Jan,2011,Transformer,380.5,126.02810668945312
Malaybalay,Jan,2012,ARIMA,181.4,
Malaybalay,Jan,2012,LSTM,181.4,154.9119110107422
Malaybalay,Jan,2012,GRU,181.4,143.3507537841797
Malaybalay,Jan,2012,LSTM-GRU,181.4,154.0494384765625
Malaybalay,Jan,2012,BiLSTM,181.4,155.0707244873047
Malaybalay,Jan,2012,Transformer,181.4,126.02810668945312
Malaybalay,Jan,2013,ARIMA,409.1,
Malaybalay,Jan,2013,LSTM,409.1,152.6920928955078
Malaybalay,Jan,2013,GRU,409.1,142.14791870117188
Malaybalay,Jan,2013,LSTM-GRU,409.1,152.0902557373047
Malaybalay,Jan,2013,BiLSTM,409.1,152.07962036132812
Malaybalay,Jan,2013,Transformer,409.1,126.02810668945312
Malaybalay,Feb,1952,ARIMA,63.8,73.24475288711841
Malaybalay,Feb,1952,LSTM,63.8,
Malaybalay,Feb,1952,GRU,63.8,
Malaybalay,Feb,1952,LSTM-GRU,63.8,
Malaybalay,Feb,1952,BiLSTM,63.8,
Malaybalay,Feb,1952,Transformer,63.8,
Malaybalay,Feb,1953,ARIMA,83.1,63.516020985707776
Malaybalay,Feb,1953,LSTM,83.1,
Malaybalay,Feb,1953,GRU,83.1,
Malaybalay,Feb,1953,LSTM-GRU,83.1,
Malaybalay,Feb,1953,BiLSTM,83.1,
Malaybalay,Feb,1953,Transformer,83.1,
Malaybalay,Feb,1954,ARIMA,42.6,0.0
Malaybalay,Feb,1954,LSTM,42.6,
Malaybalay,Feb,1954,GRU,42.6,
Malaybalay,Feb,1954,LSTM-GRU,42.6,
Malaybalay,Feb,1954,BiLSTM,42.6,
Malaybalay,Feb,1954,Transformer,42.6,
Malaybalay,Feb,2011,ARIMA,269.5,
Malaybalay,Feb,2011,LSTM,269.5,111.61641693115234
Malaybalay,Feb,2011,GRU,269.5,107.06427764892578
Malaybalay,Feb,2011,LSTM-GRU,269.5,113.73951721191406
Malaybalay,Feb,2011,BiLSTM,269.5,112.72990417480469
Malaybalay,Feb,2011,Transformer,269.5,103.92085266113281
Malaybalay,Feb,2012,ARIMA,139.4,
Malaybalay,Feb,2012,LSTM,139.4,111.0034408569336
Malaybalay,Feb,2012,GRU,139.4,106.9715347290039
Malaybalay,Feb,2012,LSTM-GRU,139.4,111.00383758544922
Malaybalay,Feb,2012,BiLSTM,139.4,113.04219055175781
Malaybalay,Feb,2012,Transformer,139.4,103.92085266113281
Malaybalay,Feb,2013,ARIMA,222.9,
Malaybalay,Feb,2013,LSTM,222.9,108.82460021972656
Malaybalay,Feb,2013,GRU,222.9,106.15922546386719
Malaybalay,Feb,2013,LSTM-GRU,222.9,103.23843383789062
Malaybalay,Feb,2013,BiLSTM,222.9,105.55311584472656
Malaybalay,Feb,2013,Transformer,222.9,103.92085266113281
Malaybalay,Mar,1952,ARIMA,84.0,82.85398413786811
Malaybalay,Mar,1952,LSTM,84.0,
Malaybalay,Mar,1952,GRU,84.0,
Malaybalay,Mar,1952,LSTM-GRU,84.0,
Malaybalay,Mar,1952,BiLSTM,84.0,
Malaybalay,Mar,1952,Transformer,84.0,
Malaybalay,Mar,1953,ARIMA,81.8,83.40693670242928
Malaybalay,Mar,1953,LSTM,81.8,
Malaybalay,Mar,1953,GRU,81.8,
Malaybalay,Mar,1953,LSTM-GRU,81.8,
Malaybalay,Mar,1953,BiLSTM,81.8,
Malaybalay,Mar,1953,Transformer,81.8,
Malaybalay,Mar,1954,ARIMA,80.4,0.0
Malaybalay,Mar,1954,LSTM,80.4,
Malaybalay,Mar,1954,GRU,80.4,
Malaybalay,Mar,1954,LSTM-GRU,80.4,
Malaybalay,Mar,1954,BiLSTM,80.4,
Malaybalay,Mar,1954,Transformer,80.4,
Malaybalay,Mar,2011,ARIMA,113.4,
Malaybalay,Mar,2011,LSTM,113.4,110.78962707519531
Malaybalay,Mar,2011,GRU,113.4,108.90103912353516
Malaybalay,Mar,2011,LSTM-GRU,113.4,108.5054702758789
Malaybalay,Mar,2011,BiLSTM,113.4,109.76366424560547
Malaybalay,Mar,2011,Transformer,113.4,99.0602035522461
Malaybalay,Mar,2012,ARIMA,203.0,
Malaybalay,Mar,2012,LSTM,203.0,111.22208404541016
Malaybalay,Mar,2012,GRU,203.0,106.984619140625
Malaybalay,Mar,2012,LSTM-GRU,203.0,108.06993103027344
Malaybalay,Mar,2012,BiLSTM,203.0,108.64472961425781
Malaybalay,Mar,2012,Transformer,203.0,99.0602035522461
Malaybalay,Mar,2013,ARIMA,105.9,
Malaybalay,Mar,2013,LSTM,105.9,109.87918090820312
Malaybalay,Mar,2013,GRU,105.9,104.65191650390625
Malaybalay,Mar,2013,LSTM-GRU,105.9,107.37548828125
Malaybalay,Mar,2013,BiLSTM,105.9,105.9615707397461
Malaybalay,Mar,2013,Transformer,105.9,99.0602035522461
Malaybalay,Apr,1952,ARIMA,69.7,67.2991167442252
Malaybalay,Apr,1952,LSTM,69.7,
Malaybalay,Apr,1952,GRU,69.7,
Malaybalay,Apr,1952,LSTM-GRU,69.7,
Malaybalay,Apr,1952,BiLSTM,69.7,
Malaybalay,Apr,1952,Transformer,69.7,
Malaybalay,Apr,1953,ARIMA,66.1,69.0256174577948
Malaybalay,Apr,1953,LSTM,66.1,
Malaybalay,Apr,1953,GRU,66.1,
Malaybalay,Apr,1953,LSTM-GRU,66.1,
Malaybalay,Apr,1953,BiLSTM,66.1,
Malaybalay,Apr,1953,Transformer,66.1,
Malaybalay,Apr,1954,ARIMA,24.5,0.0
Malaybalay,Apr,1954,LSTM,24.5,
Malaybalay,Apr,1954,GRU,24.5,
Malaybalay,Apr,1954,LSTM-GRU,24.5,
Malaybalay,Apr,1954,BiLSTM,24.5,
Malaybalay,Apr,1954,Transformer,24.5,
Malaybalay,Apr,2011,ARIMA,72.9,
Malaybalay,Apr,2011,LSTM,72.9,99.82117462158203
Malaybalay,Apr,2011,GRU,72.9,89.92996978759766
Malaybalay,Apr,2011,LSTM-GRU,72.9,97.07019805908203
Malaybalay,Apr,2011,BiLSTM,72.9,103.79735565185547
Malaybalay,Apr,2011,Transformer,72.9,106.93733978271484
Malaybalay,Apr,2012,ARIMA,103.0,
Malaybalay,Apr,2012,LSTM,103.0,71.6358642578125
Malaybalay,Apr,2012,GRU,103.0,67.60990142822266
Malaybalay,Apr,2012,LSTM-GRU,103.0,68.38642883300781
Malaybalay,Apr,2012,BiLSTM,103.0,73.18648529052734
Malaybalay,Apr,2012,Transformer,103.0,106.93733978271484
Malaybalay,Apr,2013,ARIMA,234.9,
Malaybalay,Apr,2013,LSTM,234.9,68.54942321777344
Malaybalay,Apr,2013,GRU,234.9,70.8887710571289
Malaybalay,Apr,2013,LSTM-GRU,234.9,65.91808319091797
Malaybalay,Apr,2013,BiLSTM,234.9,67.1957778930664
Malaybalay,Apr,2013,Transformer,234.9,106.93733978271484
Malaybalay,May,1952,ARIMA,388.9,371.9988497665949
Malaybalay,May,1952,LSTM,388.9,
Malaybalay,May,1952,GRU,388.9,
Malaybalay,May,1952,LSTM-GRU,388.9,
Malaybalay,May,1952,BiLSTM,388.9,
Malaybalay,May,1952,Transformer,388.9,
Malaybalay,May,1953,ARIMA,362.0,386.2338659185177
Malaybalay,May,1953,LSTM,362.0,
Malaybalay,May,1953,GRU,362.0,
Malaybalay,May,1953,LSTM-GRU,362.0,
Malaybalay,May,1953,BiLSTM,362.0,
Malaybalay,May,1953,Transformer,362.0,
Malaybalay,May,1954,ARIMA,287.3,0.0
Malaybalay,May,1954,LSTM,287.3,
Malaybalay,May,1954,GRU,287.3,
Malaybalay,May,1954,LSTM-GRU,287.3,
Malaybalay,May,1954,BiLSTM,287.3,
Malaybalay,May,1954,Transformer,287.3,
Malaybalay,May,2011,ARIMA,421.3,
Malaybalay,May,2011,LSTM,421.3,217.28001403808594
